"segId","mainAge","licenseHeld","noClaims","gender","drivers","numCars","coverType","persMiles","numClaims","numOffences","leadTime","201504-avgMonthlyEnq","201504-enqToSale","201504-enqToClick","201504-clicksPerCLicker","201504-clickToSale","201504-pctOkResults","PctCh-Enq","Ch-enqToSale","Ch-enqToClick","Ch-ClicksPerClicker","Ch-clickToSale","Ch-okResults"
17999,"4: 23-25","1: 0-4","2: 1-4","1","1: 1","1: 1","1","1: 0-5k","2: 1+","1: 0","2: 7-13",33,0.0455,0.3333,1.1111,0.3333,0.9848,-0.0198,0.0356,0.2619,-0.3889,0.2619,0.0146
56854,"6: 31-40","3: 10-19","4: 10+","2","1: 1","1: 1","1","1: 0-5k","2: 1+","1: 0","5: 28+",109,0.0092,0.1333,1.5333,0.1333,0.9908,-0.2233,-0.0146,-0.1167,-0.6167,-0.1167,0.0098
21394,"4: 23-25","2: 5-9","1: 0","1","2: 2+","1: 1","1","2: 5k-10k","1: 0","2: 1+","1: 0-6",46,0.011,0.0769,1.3077,0.0769,0.9011,-0.509,-0.0214,-0.2692,-0.4615,-0.2692,-0.0773
24946,"4: 23-25","2: 5-9","3: 5-9","2","1: 1","2: >1","1","1: 0-5k","1: 0","1: 0","3: 14-20",81,0.0185,0.0968,1.8065,0.0968,0.9815,-0.2286,-0.0323,-0.2051,-0.42,-0.2051,-0.0185
79027,"7: 41-50","4: 20+","2: 1-4","2","1: 1","1: 1","1","2: 5k-10k","2: 1+","1: 0","3: 14-20",20,0.0732,0.25,1.3333,0.25,1,-0.2931,0.0272,0.0278,-0.5556,0.0278,0.023
2036,"1: 17-18","1: 0-4","1: 0","2","1: 1","2: >1","2","2: 5k-10k","1: 0","1: 0","4: 21-27",34,0.0149,0.3333,1.3333,0.3333,0.9104,-0.1106,0.0149,0.3333,-0.6667,0.3333,-0.063
60405,"6: 31-40","4: 20+","3: 5-9","1","1: 1","2: >1","1","2: 5k-10k","1: 0","1: 0","2: 7-13",36,0.0141,0.1429,2,0.1429,1,-0.2993,-0.078,-0.2571,0.3143,-0.2571,0.0066
31555,"5: 26-30","2: 5-9","1: 0","2","1: 1","2: >1","1","1: 0-5k","1: 0","2: 1+","1: 0-6",28,0.0182,0.1111,1.7778,0.1111,1,-0.1033,-0.0144,-0.0556,0.3889,-0.0556,0.0109
33693,"5: 26-30","2: 5-9","3: 5-9","1","1: 1","1: 1","1","2: 5k-10k","1: 0","2: 1+","4: 21-27",48,0.0206,0.4,1.2,0.4,1,0.3726,-0.0171,0.2,-0.55,0.2,0.0566
97992,"8: 51-60","4: 20+","4: 10+","1","1: 1","1: 1","3","1: 0-5k","1: 0","1: 0","1: 0-6",82,0.0182,0.4286,1.7143,0.4286,0.9697,0.6071,0.0182,0.4286,0.3506,0.4286,0.0281
41963,"6: 31-40","1: 0-4","1: 0","1","2: 2+","1: 1","3","1: 0-5k","1: 0","1: 0","1: 0-6",74,0,0,1.6,0,0.7651,0.2081,0,0,-0.4,0,-0.143
48252,"6: 31-40","2: 5-9","2: 1-4","1","2: 2+","2: >1","1","2: 5k-10k","1: 0","1: 0","4: 21-27",38,0.0133,0.0714,2.1429,0.0714,1,-0.0927,-0.0673,-0.2143,0.3143,-0.2143,0.0161
96803,"8: 51-60","4: 20+","3: 5-9","1","2: 2+","1: 1","1","1: 0-5k","2: 1+","1: 0","3: 14-20",28,0.0702,0.2105,2.1579,0.2105,0.9825,-0.4755,0.0211,-0.1228,0.2412,-0.1228,-0.0114
21965,"4: 23-25","2: 5-9","1: 0","2","1: 1","2: >1","1","2: 5k-10k","2: 1+","1: 0","1: 0-6",62,0.0403,0.2632,1.4211,0.2632,0.9919,0.2828,-0.0217,-0.2105,-1.7895,-0.2105,0.0126
33497,"5: 26-30","2: 5-9","2: 1-4","2","2: 2+","2: >1","1","2: 5k-10k","1: 0","1: 0","3: 14-20",106,0.0991,0.4375,2.1042,0.4375,0.9623,0.4791,0.0293,0.0966,0.4223,0.0966,-0.0238
